"Category level 1";"Category level 2";"Category level 3";"Category level 4";"Code";"Optional EAN";"Nature of Product authorized";"Mandatory specific data"
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"ACCESSORIES - DECORATION - CUSTOM HELMET";"ACCESSORIES - DECORATION - CUSTOM HELMET";"0S010N01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"BALACLAVA - SCARF";"BALACLAVA - SCARF";"0S010201";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"BLOUSON DE MOTO - VESTE DE MOTO";"BLOUSON DE MOTO - VESTE DE MOTO";"0S010P01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"CASQUE AUTOMOBILE - CASQUE DE KART";"CASQUE AUTOMOBILE - CASQUE DE KART";"0S010O01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"COMPLETE PACK";"COMPLETE PACK";"0S010I01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"DRIVER PROTECTION PACK";"DRIVER PROTECTION PACK";"0S010H01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"DRIVING GLASSES - MASK";"DRIVING GLASSES - MASK";"0S010A01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"DRIVING UNDERWEAR";"DRIVING UNDERWEAR";"0S010F01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"FIRST AID CHIP - TAG";"FIRST AID CHIP - TAG";"0S010L01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"GLOVES - INNER GLOVES";"GLOVES - INNER GLOVES";"0S010701";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"HELMET - HELMET SPARE PART";"HELMET - HELMET SPARE PART";"0S010301";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"HELMET CASE";"HELMET CASE";"0S010J01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"HELMET HOLDER";"HELMET HOLDER";"0S010K01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"HELMET SPARE PARTS";"HELMET SPARE PARTS";"0S010M01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"JACKET SLIDER -SUIT SLIDER - TROUSERS SLIDER - OTHER SLIDERS";"JACKET SLIDER -SUIT SLIDER - TROUSERS SLIDER - OTHER SLIDERS";"0S010E01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"KNEE - HIP - ELBOW - SHOULDER INSERT";"KNEE - HIP - ELBOW - SHOULDER INSERT";"0S010901";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"KNEE PAD - ELBOW PAD - LEG WARMERS";"KNEE PAD - ELBOW PAD - LEG WARMERS";"0S010801";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"MAILLOT MOTO-CROSS";"MAILLOT MOTO-CROSS";"0S010Q01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"MOTORCYCLE BACK SUPPORT - BELT";"MOTORCYCLE BACK SUPPORT - BELT";"0S010601";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"NECK BRACE - MINERVA";"NECK BRACE - MINERVA";"0S010G01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"ONE-PIECE SUITE";"ONE-PIECE SUITE";"0S010501";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"SELECTOR PROTECTOR - INNER SOLE - OUTER SOLE";"SELECTOR PROTECTOR - INNER SOLE - OUTER SOLE";"0S010D01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"SHOES- BOOTS - OVERSHOES";"SHOES- BOOTS - OVERSHOES";"0S010401";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"STONE GUARD - BODY STUNT - BIB";"STONE GUARD - BODY STUNT - BIB";"0S010C01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"TROUSERS - OVER-TROUSERS - SHORTS";"TROUSERS - OVER-TROUSERS - SHORTS";"0S010B01";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVER'S EQUIPMENT";"WINDBREAKER - JACKET - SHIRT - T-SHIRT- AIRBAG VEST";"WINDBREAKER - JACKET - SHIRT - T-SHIRT- AIRBAG VEST";"0S010101";"No";"Variant";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"AIRBAG";"AIRBAG";"0S050101";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"ALARM - ALARM SIMULATOR - HYPER FREQUENCY MODULE";"ALARM - ALARM SIMULATOR - HYPER FREQUENCY MODULE";"0S050201";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"ANTI SLEEP DEVICE";"ANTI SLEEP DEVICE";"0S050J01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"ANTI-GAME WHISTLE";"ANTI-GAME WHISTLE";"0S050S01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"AUTOMATIC LIGHTING SYSTEM KIT";"AUTOMATIC LIGHTING SYSTEM KIT";"0S050G01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"BEACON LIGHT";"BEACON LIGHT";"0S050E01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"BREATHALYSER";"BREATHALYSER";"0S050A01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"BUMPER - PYROTECHNIC TRIGGER FOR PEDESTRIAN";"BUMPER - PYROTECHNIC TRIGGER FOR PEDESTRIAN";"0S050501";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"CARAVAN MIRROR EXTENSION";"CARAVAN MIRROR EXTENSION";"0S050B01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"CHOCK - LIFTING CHOCK - TRACTION MAT";"CHOCK - LIFTING CHOCK - TRACTION MAT";"0S050601";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"CRASH PAD";"CRASH PAD";"0S050R01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"DISK AND OTHER SIGNALLING ADHESIVE TAPE";"DISK AND OTHER SIGNALLING ADHESIVE TAPE";"0S050901";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"FIRE EXTINGUISHER";"FIRE EXTINGUISHER";"0S050C01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"GARAGE COVER";"GARAGE COVER";"0S050M01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"IMMOBILIZER - WHEEL LOCK";"IMMOBILIZER - WHEEL LOCK";"0S050301";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"INSURANCE LABEL HOLDER";"INSURANCE LABEL HOLDER";"0S050L01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"REGISTRATION PLATE - PLATE MOUNTING";"REGISTRATION PLATE - PLATE MOUNTING";"0S050K01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"REVERSING RADAR AND CAMERA - ASSISTED DRIVING";"REVERSING RADAR AND CAMERA - ASSISTED DRIVING";"0S050N01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"SAFETY MIRROR";"SAFETY MIRROR";"0S050I01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"SAFETY VEST - SAFETY KIT - SAFETY TRIANGLE";"SAFETY VEST - SAFETY KIT - SAFETY TRIANGLE";"0S050D01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"SEATS BELT - BELT SYSTEM";"SEATS BELT - BELT SYSTEM";"0S050701";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"SIGNALLING PENNANT";"SIGNALLING PENNANT";"0S050Q01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"SPEED DISPLAY ON WINDSCREEN KIT";"SPEED DISPLAY ON WINDSCREEN KIT";"0S050F01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"SUPPORT FOR BEACON LIGHT";"SUPPORT FOR BEACON LIGHT";"0S050O01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"TRANSPONDER";"TRANSPONDER";"0S050P01";"No";"Standard";
"CARS - MOTORCYCLES";"DRIVING ASSISTANCE - SAFETY";"VIDEO BLACK BOX";"VIDEO BLACK BOX";"0S050T01";"No";"Standard";
"CARS - MOTORCYCLES";"EQUIPEMENT DE CHARGE VEHICULE ELECTRIQUE";"STATION DE CHARGE VEHICULE ELECTRIQUE - CABLE DE CHARGE VEHICULE ELECTRIQUE";"STATION DE CHARGE VEHICULE ELECTRIQUE - CABLE DE CHARGE VEHICULE ELECTRIQUE";"0S0D0101";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"ACCESS TO THE BERTH - LADDER";"ACCESS TO THE BERTH - LADDER";"0S0C0101";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"AUTOMATIC - MANUAL WATER PUMP";"AUTOMATIC - MANUAL WATER PUMP";"0S0C0501";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"FLOOR";"FLOOR";"0S0C0A01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"GAS BOX";"GAS BOX";"0S0C0201";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"GUTTER - TUBE HOLDER";"GUTTER - TUBE HOLDER";"0S0C0E01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"INTERIOR CLADDING KIT";"INTERIOR CLADDING KIT";"0S0C0801";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"INTERIOR FITTING KIT";"INTERIOR FITTING KIT";"0S0C0901";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"LIT TOUT FAIT";"LIT TOUT FAIT";"0S0C0P01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"MARCHEPIED ELECTRIQUE - MARCHEPIED CAMPING-CAR";"MARCHEPIED ELECTRIQUE - MARCHEPIED CAMPING-CAR";"0S0C0O01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"REFRIGERATEUR TRIMIXTE POUR VEHICULE";"REFRIGERATEUR TRIMIXTE POUR VEHICULE";"0S0C0N01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"SERVICE DOOR - LUGGAGE COMPARTMENT";"SERVICE DOOR - LUGGAGE COMPARTMENT";"0S0C0601";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"SIDE PANEL";"SIDE PANEL";"0S0C0C01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"STORAGE - LOCKER - SHELF";"STORAGE - LOCKER - SHELF";"0S0C0D01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"SUNROOF - PANORAMIC ROOF";"SUNROOF - PANORAMIC ROOF";"0S0C0401";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"TANK CONNECTION - CAP";"TANK CONNECTION - CAP";"0S0C0G01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"TENTE DE TOIT";"TENTE DE TOIT";"0S0C0L01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"VENTING KIT";"VENTING KIT";"0S0C0301";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"WASTE WATER TANK - CLEAN WATER - EXCREMENT TANK";"WASTE WATER TANK - CLEAN WATER - EXCREMENT TANK";"0S0C0701";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"WHEEL ARCH BOX";"WHEEL ARCH BOX";"0S0C0B01";"No";"Standard";
"CARS - MOTORCYCLES";"MOBILE HOMES - INTERIOR LAYOUT";"WORKBENCH";"WORKBENCH";"0S0C0F01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ABS SENSOR";"ABS SENSOR";"0S091201";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ACCELERATION SENSOR";"ACCELERATION SENSOR";"0S091301";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ACCELERATOR CABLE - GAS CABLE";"ACCELERATOR CABLE - GAS CABLE";"0S090Y01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR BOX";"AIR BOX";"0S090K01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR CONDITIONING COMPRESSOR";"AIR CONDITIONING COMPRESSOR";"0S091M01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR CONDITIONING CONDENSER";"AIR CONDITIONING CONDENSER";"0S091N01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR CONDITIONING EVAPORATOR";"AIR CONDITIONING EVAPORATOR";"0S092801";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR CONDITIONING EXPANSION VALVE";"AIR CONDITIONING EXPANSION VALVE";"0S091W01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR FILTER";"AIR FILTER";"0S092B01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AIR FLOWMETER";"AIR FLOWMETER";"0S091T01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ALTERNATOR";"ALTERNATOR";"0S090301";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ALTERNATOR PULLEY";"ALTERNATOR PULLEY";"0S093S01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AMPOULE PHARE - AMPOULE FEU - AMPOULE CLIGNOTANT";"AMPOULE PHARE - AMPOULE FEU - AMPOULE CLIGNOTANT";"0S095Q01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ANTI-ROLL BAR";"ANTI-ROLL BAR";"0S090C01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AUTO BRAND BADGE";"AUTO BRAND BADGE";"0S095701";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"AUTO KEYS";"AUTO KEYS";"0S095B01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BARE CHASSIS OF VEHICLES - STABILIZER";"BARE CHASSIS OF VEHICLES - STABILIZER";"0S091D01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BATTERY CLIP";"BATTERY CLIP";"0S092Z01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BEARING - SELF ALIGNING BEARING  ";"BEARING - SELF ALIGNING BEARING  ";"0S094X01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BIG BRAKE KIT";"BIG BRAKE KIT";"0S092X01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BODYWORK KIT - SILL PANEL - REAR SPOILER - SPOILER - BLADE - BUMPER - GRILLE - WING EXTENSION";"BODYWORK KIT - SILL PANEL - REAR SPOILER - SPOILER - BLADE - BUMPER - GRILLE - WING EXTENSION";"0S092T01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BONNET - GRID - LIGHTS KIT";"BONNET - GRID - LIGHTS KIT";"0S091101";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BONNET JACK";"BONNET JACK";"0S094S01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BOX - KEY SHELL - REMOTE CONTROL";"BOX - KEY SHELL - REMOTE CONTROL";"0S094Y01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE CALLIPER";"BRAKE CALLIPER";"0S092701";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE DISCS";"BRAKE DISCS";"0S091Z01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE DRUM";"BRAKE DRUM";"0S094O01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE HOSE - BRAKE PIPE - BRAKE HOSE - AVIATION HOSE";"BRAKE HOSE - BRAKE PIPE - BRAKE HOSE - AVIATION HOSE";"0S092F01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE MASTER CYLINDER";"BRAKE MASTER CYLINDER";"0S093701";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE PADS";"BRAKE PADS";"0S093I01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE REPAIR KIT - BRAKE REFURBISHMENT KIT";"BRAKE REPAIR KIT - BRAKE REFURBISHMENT KIT";"0S092V01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BRAKE SHOE";"BRAKE SHOE";"0S093601";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BREATHALYSER KIT";"BREATHALYSER KIT";"0S095101";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"BULB - INSTRUMENT PANEL LIGHTING";"BULB - INSTRUMENT PANEL LIGHTING";"0S090I01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CAM SHAFT - TIMING SHAFT";"CAM SHAFT - TIMING SHAFT";"0S090501";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CAMSHAFT POSITION SENSOR - SENSOR TDC - TOP DEAD CENTRE SENSOR - IGNITION PULSE SENSOR";"CAMSHAFT POSITION SENSOR - SENSOR TDC - TOP DEAD CENTRE SENSOR - IGNITION PULSE SENSOR";"0S091601";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CAR DOOR - LINING ";"CAR DOOR - LINING ";"0S095A01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CAR WINDOW";"CAR WINDOW";"0S095901";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARBURETTOR";"CARBURETTOR";"0S091801";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARTE BLUETOOTH";"CARTE BLUETOOTH";"0S095J01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARTE GYROSCOPIQUE";"CARTE GYROSCOPIQUE";"0S095G01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARTE LED";"CARTE LED";"0S095H01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARTE MERE";"CARTE MERE";"0S095D01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARTE TEMOIN";"CARTE TEMOIN";"0S095I01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CARTER";"CARTER";"0S095E01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CATALYTIC CONVERTER";"CATALYTIC CONVERTER";"0S093R01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CENTRAL STAND - SIDE STAND";"CENTRAL STAND - SIDE STAND";"0S090E01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CHAIN KIT - CHAIN - QUICK COUPLER - CROWN - GEAR - TRANSMISSION BELT";"CHAIN KIT - CHAIN - QUICK COUPLER - CROWN - GEAR - TRANSMISSION BELT";"0S092Y01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CHAIN TENSIONER WHEEL - CHAIN TENSIONER";"CHAIN TENSIONER WHEEL - CHAIN TENSIONER";"0S092K01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CHARGEUR";"CHARGEUR";"0S095F01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CHASSIS RUBBER MOUNTINGS";"CHASSIS RUBBER MOUNTINGS";"0S094B01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLE DE CONTACT";"CLE DE CONTACT";"0S095O01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLEARANCE LIGHTS";"CLEARANCE LIGHTS";"0S092G01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH CABLE";"CLUTCH CABLE";"0S091001";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH CENTRING TOOL";"CLUTCH CENTRING TOOL";"0S091B01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH DISC";"CLUTCH DISC";"0S091Y01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH KIT";"CLUTCH KIT";"0S092W01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH LEVER";"CLUTCH LEVER";"0S093301";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH MECHANISM";"CLUTCH MECHANISM";"0S093801";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CLUTCH STOP THRUST BEARING";"CLUTCH STOP THRUST BEARING";"0S090X01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COMBINATION SWITCH";"COMBINATION SWITCH";"0S091L01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COMPLETE ENGINE";"COMPLETE ENGINE";"0S093A01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COMPLETE LINE - EXHAUST LINE - EXHAUST PIPE";"COMPLETE LINE - EXHAUST LINE - EXHAUST PIPE";"0S093501";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COMPLETE WHEEL - WITH RIM";"COMPLETE WHEEL - WITH RIM";"0S093901";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COMPRESSOR PULLEY";"COMPRESSOR PULLEY";"0S093T01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CONNECTING ROD";"CONNECTING ROD";"0S090G01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CONNECTING ROD";"CONNECTING ROD";"0S091C01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COOLING HOSE - WATER HOSE";"COOLING HOSE - WATER HOSE";"0S092201";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"COQUE - CARENAGE";"COQUE - CARENAGE";"0S095C01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CRANKSHAFT";"CRANKSHAFT";"0S094U01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CYLINDER HEAD";"CYLINDER HEAD";"0S091R01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CYLINDER HEAD BOLT";"CYLINDER HEAD BOLT";"0S094V01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CYLINDER HEAD GASKET";"CYLINDER HEAD GASKET";"0S092P01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"CYLINDER LINER";"CYLINDER LINER";"0S091E01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DASHBOARD";"COCKPIT";"0S095601";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DECATALYSING TUBE - AFRICA TUBE";"DECATALYSING TUBE - AFRICA TUBE";"0S091U01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DEHYDRATOR BOTTLE";"DEHYDRATOR BOTTLE";"0S090U01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DIRECT INTAKE";"DIRECT INTAKE";"0S090101";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DOWNPIPE";"DOWNPIPE";"0S092001";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DRAIN PLUG";"DRAIN PLUG";"0S090P01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"DYNAMIC INTAKE";"DYNAMIC INTAKE";"0S090201";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ECRAN DE COMMANDE";"ECRAN DE COMMANDE";"0S095L01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"EGR VALVE";"EGR VALVE";"0S094Q01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ELECTRIC WINDOW - ELECTRIC WINDOW MECHANISM";"ELECTRIC WINDOW - ELECTRIC WINDOW MECHANISM";"0S093101";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ELECTRONIC DISTRIBUTOR - BRAKING CONTROLLER - ABS";"ELECTRONIC DISTRIBUTOR - BRAKING CONTROLLER - ABS";"0S094001";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ELECTRONIC UNIT - ADDITIONAL UNIT";"ELECTRONIC UNIT - ADDITIONAL UNIT";"0S092A01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ENGINE BLOCK";"ENGINE BLOCK";"0S090H01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ENGINE FITTING";"ENGINE FITTING";"0S095201";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"ENGINE RUBBER MOUNTING";"ENGINE RUBBER MOUNTING";"0S094F01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"EXHAUST CLIP";"EXHAUST CLIP";"0S091I01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"EXHAUST MANIFOLD";"EXHAUST MANIFOLD";"0S091H01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"EXHAUST RUBBER BLOCK";"EXHAUST RUBBER BLOCK";"0S094E01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"EXHAUST SEAL";"EXHAUST SEAL";"0S092S01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FAN";"FAN";"0S094R01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FILTRE A PARTICULES";"FILTRE A PARTICULES";"0S095P01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FORK HEAD FAIRING - SIDE COVERS - RADIATOR COVERS";"FORK HEAD FAIRING - SIDE COVERS - RADIATOR COVERS";"0S091A01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FRAME GUARD - CHAIN - DISK - FORK - TRUNION - ENGINE - RADIATOR";"FRAME GUARD - CHAIN - DISK - FORK - TRUNION - ENGINE - RADIATOR";"0S093V01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FUEL FILTER";"FUEL FILTER";"0S092C01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FUEL LEVEL SENSOR - FUEL GAUGE";"FUEL LEVEL SENSOR - FUEL GAUGE";"0S091501";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"FUSES";"FUSES";"0S092I01";"No";"Standard";
"CARS - MOTORCYCLES";"PARTS";"GAS TANK";"GAS TANK";"0S095301";"No";"Standard";
